Date, Open, High, Low, Close
12/30/05, 1254.42, 1254.42, 1246.59, 1248.29
12/29/05, 1258.17, 1260.61, 1254.18, 1254.42
12/28/05, 1256.54, 1261.10, 1256.54, 1258.17
12/27/05, 1268.66, 1271.83, 1256.54, 1256.54
12/23/05, 1268.12, 1269.76, 1265.92, 1268.66
12/22/05, 1262.79, 1268.19, 1262.50, 1268.12
12/21/05, 1259.62, 1269.37, 1259.62, 1262.79
12/20/05, 1259.92, 1263.86, 1257.21, 1259.62
12/19/05, 1267.32, 1270.51, 1259.28, 1259.92
12/16/05, 1270.94, 1275.24, 1267.32, 1267.32
12/15/05, 1272.74, 1275.17, 1267.74, 1270.94
12/14/05, 1267.43, 1275.80, 1267.07, 1272.74
12/13/05, 1260.43, 1272.11, 1258.56, 1267.43
12/12/05, 1259.37, 1263.86, 1255.52, 1260.43
12/09/05, 1255.84, 1263.08, 1254.24, 1259.37
12/08/05, 1257.37, 1263.36, 1250.91, 1255.84
12/07/05, 1263.70, 1264.85, 1253.02, 1257.37
12/06/05, 1262.09, 1272.89, 1262.09, 1263.70
12/05/05, 1265.08, 1265.08, 1258.12, 1262.09
12/02/05, 1264.67, 1266.85, 1261.42, 1265.08
12/01/05, 1249.48, 1266.17, 1249.48, 1264.67
11/30/05, 1257.48, 1260.93, 1249.39, 1249.48
11/29/05, 1257.46, 1266.18, 1257.46, 1257.48
11/28/05, 1268.25, 1268.44, 1257.17, 1257.46
11/25/05, 1265.61, 1268.78, 1265.54, 1268.25
11/23/05, 1261.23, 1270.64, 1259.51, 1265.61
11/22/05, 1254.85, 1261.90, 1251.40, 1261.23
11/21/05, 1248.27, 1255.89, 1246.90, 1254.85
11/18/05, 1242.80, 1249.58, 1240.71, 1248.27
11/17/05, 1231.21, 1242.96, 1231.21, 1242.80
11/16/05, 1229.01, 1232.24, 1227.18, 1231.21
11/15/05, 1233.76, 1237.94, 1226.41, 1229.01
11/14/05, 1234.72, 1237.20, 1231.78, 1233.76
11/11/05, 1230.96, 1235.70, 1230.72, 1234.72
11/10/05, 1220.65, 1232.41, 1215.05, 1230.96
11/09/05, 1218.59, 1226.59, 1216.53, 1220.65
11/08/05, 1222.81, 1222.81, 1216.08, 1218.59
11/07/05, 1220.14, 1224.18, 1217.29, 1222.81
